"Name","Country","Years.active","Proven.victims","Possible.victims","Notes","Proven.victims.","Miscellaneous.information","Proven victims","Proven victims*","victims"
"Luis Garavito","Colombia","1990s","138","0172 !172–300+","Child-murderer, torture-killer, and rapist known as ”La Bestia” (“The Beast""). Confessed to killing 140 children over a 5-year period in Colombia. He is suspected of murdering over 300 victims, mostly street children.[2][3]",NA,NA,138,0,138
"Pedro López","Colombia","1969 to 1980","110","0300 !300–350+","Child-murderer and rapist, known as ""The Monster of the Andes"". Targeted young girls, between the ages of 8 and 12. Arrested in 1980 and convicted in 1983 of killing 110 young girls but confessed to killing 300, exact total unknown. Despite being one of the most prolific serial killers of the 20th century, he was released in 1998. Current whereabouts unknown.[4]",NA,NA,110,0,110
"Daniel Camargo","Colombia","1974 to 1986","72","0150 !150","Child-murderer, believed to have possibly raped and killed over 150 victims, primarily young virgin girls. Confessed to killing 72 victims, and incarcerated with Pedro Alonso Lopez. Considered to be intelligent, and believed to have been motivated to kill from his stepmother abusing him as a child. He strangled young girls in Colombia and was arrested, but he escaped from prison and he started killing in Ecuador; rearrested in 1989, he was killed in jail.[5]",NA,NA,72,0,72
"Pedro Rodrigues Filho","Brazil","1967 to 2003","71","0100 !100+","Convicted and sentenced to 128 years, but the maximum one can serve in Brazil is 30 years. He has claimed to have killed over 100 victims, 47 of them inmates. He also killed his father and ate a piece of his heart. He killed his first two victims at the age of 14; he was first arrested in 1973.",NA,NA,71,0,71
"Kampatimar Shankariya","India","1977 to 1978","70","070 !70+","Sentenced to death for the hammer murders of at least 70 people. Hanged on May 16, 1979.[6]",NA,NA,70,0,70
"Yang Xinhai","China","2000 to 2003","67","","Would enter victims' homes at night and kill everyone with axes, meat cleavers, hammers, and shovels. Executed in February 2004. Known as the ""Monster Killer"".[7]",NA,NA,67,0,67
"Abul Djabar","Afghanistan","1970 and earlier","65","300+","Killed 65 men and boys by strangling them with turbans while raping them. Suspected of over 300 murders. Sentenced to death and hanged on October 21, 1970.[8]",NA,NA,65,0,65
"Andrei Chikatilo","Russia","1978 to 1990","53","56","Known as The Butcher of Rostov, The Red Ripper or The Rostov Ripper. Convicted of the murder of 53 women and children between 1978 and 1990. Executed in 1994. One man was previously convicted and executed for his first murder.[9]",NA,NA,53,0,53
"Anatoly Onoprienko","Russia","1989 to 1996","52","52+","Known as ""The Beast of Ukraine"", ""The Terminator"" and ""Citizen O"". Convicted of the murders of 9 people in 1989 and 43 people in 1995–1996. Sentenced to death, later commuted to life. Traveled through Europe illegally from 1990 to 1995; whether he killed during this time is unknown.[9]",NA,NA,52,0,52
"Gary Ridgway","United States","1982 to 2000","49","71–90+","Truck painter who confessed to killing 71 women. The United States' most prolific serial killer; also known as The Green River Killer. He almost exclusively targeted sex workers from Seattle. Suspected of killing over 90 victims, confessed to 71, convicted of 49.[10]",NA,NA,49,0,49
"Alexander Pichushkin","Russia","1992 to 2006","48","60","Known as the Chessboard Killer. Convicted of murdering 48 victims and suspected of killing 60. Claimed to have murdered 62 people, because he didn't know that two of his victims had survived; stated goal of becoming Russia's most prolific serial killer.[11]",NA,NA,48,0,48
"Wang Qiang","China","1995 to 2003","45","45+","Killed 45 and raped ten from 1995 to 2003.[12]",NA,NA,45,0,45
"Ahmad Suradji","Indonesia","1986 to 1997","42","70–80+","Convicted of strangling at least 42 women and girls in a series of ritual slayings he believed would give him magical powers. Executed by firing squad on 11 July 2008.",NA,NA,42,0,42
"Thiago Gomes da Rocha","Brazil","2011 to 2014","39","","Brazilian security guard who confessed to the murders of 39 people.",NA,NA,39,0,39
"Moses Sithole","South Africa","1994 to 1995","38","38+","Preyed on unemployed women, posing as a businessman and luring his victims with the prospects of a job, before leading them to an isolated place, where he raped, tortured, and murdered them. Sentenced to 2410 years imprisonment with a non-parole period of 930 years. Known as South Africa's Ted Bundy.[13]",NA,NA,38,0,38
"Serhiy Tkach","Russia","1984 to 2005","36","80–100","A former Ukrainian police criminal investigator, suffocated girls aged between 8 and 18 and performed sexual acts on their bodies after they were dead. Claims to have killed 100.",NA,NA,36,0,36
"Gennady Mikhasevich","Russia","1971 to 1985","36","43–55","Strangled females. Besides killing, he robbed his victims of money and valuable items (that he would sometimes give to his wife as a gift).[14]",NA,NA,36,0,36
"Hadj Mohammed Mesfewi","Morocco","1906 and earlier","36","36+","Responsible for the murders of at least 36 women; executed by immurement in 1906.",NA,NA,36,0,36
"Ted Bundy","United States","1974 to 1978","35","36+","American serial killer known for his charisma and good looks. Bundy officially confessed to 30 homicides, but has confessed to killing 35–36 women in the past, and some estimates run upwards of 100 or more. Infamous for escaping from prison twice and murdering multiple victims in one day; sometimes abducting women from the same location within hours of one another.[15] He was executed in the electric chair in 1989.[16][17]",NA,NA,35,0,35
